Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
N.A.,20,905,905,Northern America,0,49744,12.3,26.4,1.3
N.A.,20,906,906,Eastern Asia,0,97389,6.5,12.2,0.71
N.A.,20,910,910,Eastern Africa,0,25330,17.6,10.7,1.9
N.A.,20,911,911,Middle Africa,0,9142,16.8,9.6,1.8
N.A.,20,912,912,Northern Africa,0,23186,19.0,18.3,2.0
N.A.,20,913,913,Southern Africa,0,5693,16.6,16.2,1.6
N.A.,20,914,914,Western Africa,0,27901,22.3,13.3,2.4
N.A.,20,915,915,Caribbean,0,5953,18.2,26.7,1.9
N.A.,20,916,916,Central America,0,10670,10.1,11.4,1.1
N.A.,20,920,920,South-Eastern Asia,0,61228,14.9,17.9,1.6
N.A.,20,921,921,South Central Asia,0,135348,13.4,13.5,1.5
N.A.,20,922,922,Western Asia,0,21344,15.1,15.5,1.6
N.A.,20,923,923,Eastern Europe,0,49973,14.4,32.3,1.7
N.A.,20,924,924,Northern Europe,0,18629,13.7,34.4,1.4
N.A.,20,925,925,Southern Europe,0,31450,13.8,40.6,1.5
N.A.,20,926,926,Western Europe,0,44387,15.4,44.4,1.6
N.A.,20,927,927,Australia-New Zealand,0,4152,12.8,26.7,1.4
N.A.,20,928,928,Melanesia,0,1179,26.8,20.9,2.9
N.A.,20,931,931,South America,0,43253,13.8,19.5,1.5
N.A.,20,954,954,Micronesia,0,53,16.7,19.1,1.7
N.A.,20,957,957,Polynesia,0,99,25.3,29.0,2.6
,,,,Total,,666103,12.7,17.0,1.4
