Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
N.A.,20,905,905,Northern America,0,288211,269.3,306.2,9.7
N.A.,20,906,906,Eastern Asia,0,437971,102.9,103.2,3.6
N.A.,20,910,910,Eastern Africa,0,35553,84.7,81.0,3.1
N.A.,20,911,911,Middle Africa,0,12400,78.3,75.2,2.8
N.A.,20,912,912,Northern Africa,0,51274,137.1,135.9,4.8
N.A.,20,913,913,Southern Africa,0,13903,131.3,129.5,4.7
N.A.,20,914,914,Western Africa,0,42255,112.7,107.4,4.0
N.A.,20,915,915,Caribbean,0,13094,132.5,144.0,4.8
N.A.,20,916,916,Central America,0,33825,102.7,103.4,3.7
N.A.,20,920,920,South-Eastern Asia,0,145427,112.6,113.0,4.0
N.A.,20,921,921,South Central Asia,0,229636,72.2,71.5,2.6
N.A.,20,922,922,Western Asia,0,52402,121.6,120.2,4.4
N.A.,20,923,923,Eastern Europe,0,151563,160.5,176.2,5.9
N.A.,20,924,924,Northern Europe,0,84649,258.2,295.7,9.2
N.A.,20,925,925,Southern Europe,0,117078,221.9,247.2,7.8
N.A.,20,926,926,Western Europe,0,170046,248.2,298.7,8.8
N.A.,20,927,927,Australia-New Zealand,0,24185,285.1,318.7,10.1
N.A.,20,928,928,Melanesia,0,1848,131.4,127.2,4.7
N.A.,20,931,931,South America,0,145073,154.6,161.0,5.6
N.A.,20,954,954,Micronesia,0,124,127.7,133.6,4.3
N.A.,20,957,957,Polynesia,0,263,213.9,220.5,7.4
,,,,Total,,2050780,129.1,134.9,4.6
