Cancer id,Cancer label,Population code (ISO/UN),Alpha‑3 code,Population,Sex,Incidence - ASR (World),Mortality - ASR (World),Grouped by
20,Breast,196,CYP,Cyprus,0,290.52,56.94,Very high HDI
20,Breast,056,BEL,Belgium,0,289.98,42.51,Very high HDI
20,Breast,036,AUS,Australia,0,289.21,36.72,Very high HDI
20,Breast,250,FRA,France (metropolitan),0,284.92,46.49,Very high HDI
20,Breast,528,NLD,The Netherlands,0,282.37,43.36,Very high HDI
20,Breast,442,LUX,Luxembourg,0,278.43,44.9,Very high HDI
20,Breast,578,NOR,Norway,0,272.7,33.02,Very high HDI
20,Breast,208,DNK,Denmark,0,272.66,42.54,Very high HDI
20,Breast,840,USA,United States of America,0,271.29,35.99,Very high HDI
20,Breast,246,FIN,Finland,0,269.01,35.86,Very high HDI
20,Breast,826,GBR,United Kingdom,0,267.35,41.28,Very high HDI
20,Breast,554,NZL,New Zealand,0,264.47,45.43,Very high HDI
20,Breast,372,IRL,Ireland,0,260.89,50.95,Very high HDI
20,Breast,124,CAN,Canada,0,253.3,39.38,Very high HDI
20,Breast,380,ITA,Italy,0,235.64,44.26,Very high HDI
20,Breast,752,SWE,Sweden,0,230.55,35.45,Very high HDI
20,Breast,620,PRT,Portugal,0,229.99,42.23,Very high HDI
20,Breast,470,MLT,Malta,0,228.94,40.74,Very high HDI
20,Breast,705,SVN,Slovenia,0,228.83,45.26,Very high HDI
20,Breast,300,GRC,Greece,0,225.18,43.99,Very high HDI
20,Breast,376,ISR,Israel,0,219.86,47.45,Very high HDI
20,Breast,724,ESP,Spain,0,219.71,31.02,Very high HDI
20,Breast,276,DEU,Germany,0,217.73,46.7,Very high HDI
20,Breast,499,MNE,Montenegro,0,216.25,70.05,Very high HDI
20,Breast,756,CHE,Switzerland,0,214.4,37.52,Very high HDI
20,Breast,348,HUN,Hungary,0,212.7,50.38,Very high HDI
20,Breast,981,,Very HDI country,0,209.71,38.83,Very high HDI
20,Breast,858,URY,Uruguay,0,208.51,63.09,Very high HDI
20,Breast,191,HRV,Croatia,0,204.35,33.69,Very high HDI
20,Breast,352,ISL,Iceland,0,202.31,50.33,Very high HDI
20,Breast,392,JPN,Japan,0,201.31,28.89,Very high HDI
20,Breast,702,SGP,Singapore,0,199.54,54,Very high HDI
20,Breast,203,CZE,Czechia,0,199.53,34.93,Very high HDI
20,Breast,032,ARG,Argentina,0,190.17,50.76,Very high HDI
20,Breast,040,AUT,Austria,0,189.21,42.42,Very high HDI
20,Breast,642,ROU,Romania,0,188.54,48.68,Very high HDI
20,Breast,703,SVK,Slovakia,0,187.29,53.89,Very high HDI
20,Breast,428,LVA,Latvia,0,180.52,48.86,Very high HDI
20,Breast,616,POL,Poland,0,180.14,51.77,Very high HDI
20,Breast,233,EST,Estonia,0,176.46,39.71,Very high HDI
20,Breast,440,LTU,Lithuania,0,173.21,42.55,Very high HDI
20,Breast,688,SRB,Serbia,0,171.47,55.72,Very high HDI
20,Breast,048,BHR,Bahrain,0,170.88,59.93,Very high HDI
20,Breast,784,ARE,United Arab Emirates,0,169.3,48.69,Very high HDI
