Cancer id,Most common site,Population code (ISO/UN),Population,Alpha‑3 code,Sex,Type,ASR (World) per 100 000
20,Breast,196,Cyprus,CYP,0,0,290.52
20,Breast,056,Belgium,BEL,0,0,289.98
20,Breast,036,Australia,AUS,0,0,289.21
20,Breast,250,France (metropolitan),FRA,0,0,284.92
20,Breast,528,The Netherlands,NLD,0,0,282.37
20,Breast,442,Luxembourg,LUX,0,0,278.43
20,Breast,578,Norway,NOR,0,0,272.7
20,Breast,208,Denmark,DNK,0,0,272.66
20,Breast,840,United States of America,USA,0,0,271.29
20,Breast,246,Finland,FIN,0,0,269.01
20,Breast,826,United Kingdom,GBR,0,0,267.35
20,Breast,554,New Zealand,NZL,0,0,264.47
20,Breast,372,Ireland,IRL,0,0,260.89
20,Breast,124,Canada,CAN,0,0,253.3
20,Breast,882,Samoa,WSM,0,0,252.08
20,Breast,540,New Caledonia,NCL,0,0,249.25
20,Breast,380,Italy,ITA,0,0,235.64
20,Breast,752,Sweden,SWE,0,0,230.55
20,Breast,620,Portugal,PRT,0,0,229.99
20,Breast,470,Malta,MLT,0,0,228.94
20,Breast,705,Slovenia,SVN,0,0,228.83
20,Breast,300,Greece,GRC,0,0,225.18
20,Breast,376,Israel,ISR,0,0,219.86
20,Breast,724,Spain,ESP,0,0,219.71
20,Breast,276,Germany,DEU,0,0,217.73
20,Breast,499,Montenegro,MNE,0,0,216.25
20,Breast,756,Switzerland,CHE,0,0,214.4
20,Breast,348,Hungary,HUN,0,0,212.7
20,Breast,858,Uruguay,URY,0,0,208.51
20,Breast,474,"France, Martinique",MTQ,0,0,206.06
20,Breast,191,Croatia,HRV,0,0,204.35
20,Breast,352,Iceland,ISL,0,0,202.31
20,Breast,392,Japan,JPN,0,0,201.31
20,Breast,702,Singapore,SGP,0,0,199.54
20,Breast,203,Czechia,CZE,0,0,199.53
20,Breast,258,French Polynesia,PYF,0,0,198.11
20,Breast,032,Argentina,ARG,0,0,190.17
20,Breast,040,Austria,AUT,0,0,189.21
20,Breast,642,Romania,ROU,0,0,188.54
20,Breast,703,Slovakia,SVK,0,0,187.29
20,Breast,428,Latvia,LVA,0,0,180.52
20,Breast,616,Poland,POL,0,0,180.14
20,Breast,388,Jamaica,JAM,0,0,177.28
20,Breast,233,Estonia,EST,0,0,176.46
20,Breast,630,Puerto Rico,PRI,0,0,175.58
20,Breast,312,"France, Guadeloupe",GLP,0,0,174.85
