Cancer id,Most common site,Population code (ISO/UN),Population,Alpha‑3 code,Sex,Type,ASR (World) per 100 000
20,Breast,242,Fiji,FJI,0,1,110.8
20,Breast,388,Jamaica,JAM,0,1,99.18
20,Breast,044,Bahamas,BHS,0,1,92.57
20,Breast,052,Barbados,BRB,0,1,87.12
20,Breast,882,Samoa,WSM,0,1,84.52
20,Breast,566,Nigeria,NGA,0,1,76.6
20,Breast,120,Cameroon,CMR,0,1,74.36
20,Breast,598,Papua New Guinea,PNG,0,1,74.08
20,Breast,499,Montenegro,MNE,0,1,70.05
20,Breast,706,Somalia,SOM,0,1,69.58
20,Breast,258,French Polynesia,PYF,0,1,67.39
20,Breast,384,"Côte d'Ivoire",CIV,0,1,66.87
20,Breast,140,Central African Republic,CAF,0,1,66.47
20,Breast,368,Iraq,IRQ,0,1,66.45
20,Breast,780,Trinidad and Tobago,TTO,0,1,65.4
20,Breast,214,Dominican Republic,DOM,0,1,64.34
20,Breast,608,Philippines,PHL,0,1,63.16
20,Breast,858,Uruguay,URY,0,1,63.09
20,Breast,516,Namibia,NAM,0,1,63.06
20,Breast,231,Ethiopia,ETH,0,1,61.85
20,Breast,268,Georgia,GEO,0,1,61.75
20,Breast,466,Mali,MLI,0,1,61.57
20,Breast,048,Bahrain,BHR,0,1,59.93
20,Breast,760,Syrian Arab Republic,SYR,0,1,59.91
20,Breast,422,Lebanon,LBN,0,1,58.66
20,Breast,807,North Macedonia,MKD,0,1,57.83
20,Breast,232,Eritrea,ERI,0,1,57.44
20,Breast,196,Cyprus,CYP,0,1,56.94
20,Breast,275,Gaza Strip and West Bank,PSE,0,1,56.51
20,Breast,262,Djibouti,DJI,0,1,56.47
20,Breast,404,Kenya,KEN,0,1,56.47
20,Breast,012,Algeria,DZA,0,1,56.36
20,Breast,090,Solomon Islands,SLB,0,1,55.79
20,Breast,688,Serbia,SRB,0,1,55.72
20,Breast,729,Sudan,SDN,0,1,55.65
20,Breast,458,Malaysia,MYS,0,1,55.07
20,Breast,480,Mauritius,MUS,0,1,54.91
20,Breast,818,Egypt,EGY,0,1,54.53
20,Breast,204,Benin,BEN,0,1,54.41
20,Breast,226,Equatorial Guinea,GNQ,0,1,54.4
20,Breast,586,Pakistan,PAK,0,1,54.05
20,Breast,702,Singapore,SGP,0,1,54
