Cancer id,Cancer label,Population code (ISO/UN),Alpha‑3 code,Population,Sex,Incidence - ASR (World),Mortality - ASR (World),Grouped by
20,Breast,012,DZA,Algeria,0,17.19,4.06,Africa
20,Breast,818,EGY,Egypt,0,13.63,3.59,Africa
20,Breast,504,MAR,Morocco,0,13.47,2.75,Africa
20,Breast,226,GNQ,Equatorial Guinea,0,12.86,5.85,Africa
20,Breast,231,ETH,Ethiopia,0,12.48,6.12,Africa
20,Breast,262,DJI,Djibouti,0,12.45,5.93,Africa
20,Breast,232,ERI,Eritrea,0,12.41,5.93,Africa
20,Breast,729,SDN,Sudan,0,11.93,4.28,Africa
20,Breast,384,CIV,"Côte d'Ivoire",0,11.86,5.84,Africa
20,Breast,638,REU,"France, La Réunion",0,11.51,1.97,Africa
20,Breast,120,CMR,Cameroon,0,11.24,5.35,Africa
20,Breast,562,NER,Niger,0,11,6.33,Africa
20,Breast,140,CAF,Central African Republic,0,10.31,5.94,Africa
20,Breast,288,GHA,Ghana,0,10.3,4.47,Africa
20,Breast,266,GAB,Gabon,0,10.21,2.86,Africa
20,Breast,516,NAM,Namibia,0,10.16,3.47,Africa
20,Breast,466,MLI,Mali,0,9.86,5.04,Africa
20,Breast,706,SOM,Somalia,0,9.42,4.99,Africa
20,Breast,480,MUS,Mauritius,0,9.34,2.05,Africa
20,Breast,788,TUN,Tunisia,0,9.22,1.79,Africa
20,Breast,430,LBR,Liberia,0,9.17,4.35,Africa
20,Breast,478,MRT,Mauritania,0,8.82,4.13,Africa
20,Breast,903,,Africa,0,8.73,3.35,Africa
20,Breast,434,LBY,Libya,0,8.58,2,Africa
20,Breast,566,NGA,Nigeria,0,8.19,3.4,Africa
20,Breast,768,TGO,Togo,0,8.18,3.93,Africa
20,Breast,686,SEN,Senegal,0,8.08,3.55,Africa
20,Breast,024,AGO,Angola,0,7.5,2.63,Africa
20,Breast,728,SSD,South Sudan,0,7.16,3.72,Africa
20,Breast,678,STP,Sao Tome and Principe,0,6.73,1.38,Africa
20,Breast,624,GNB,Guinea-Bissau,0,6.63,3.12,Africa
20,Breast,450,MDG,Madagascar,0,6.18,2.48,Africa
20,Breast,710,ZAF,South Africa,0,6.15,1.72,Africa
20,Breast,180,COD,"Congo, Democratic People Republic of",0,5.92,2.88,Africa
20,Breast,454,MWI,Malawi,0,5.91,2.81,Africa
20,Breast,148,TCD,Chad,0,5.64,3.15,Africa
20,Breast,404,KEN,Kenya,0,5.62,2.24,Africa
20,Breast,132,CPV,Cape Verde,0,4.94,1.25,Africa
20,Breast,800,UGA,Uganda,0,4.92,2.13,Africa
20,Breast,716,ZWE,Zimbabwe,0,4.91,1.96,Africa
20,Breast,270,GMB,The Republic of the Gambia,0,4.83,1.97,Africa
20,Breast,508,MOZ,Mozambique,0,4.7,2.39,Africa
20,Breast,204,BEN,Benin,0,4.69,2.15,Africa
