Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2022,Year,Prediction,Change in number of cases,Change in number of cases due to population,Change in number of cases due to risk
20,Breast,906,Eastern Asia,0,0,437971,2022,437971,0,0,0
20,Breast,906,Eastern Asia,0,0,437971,2025,463844,25873,5.9075,0
20,Breast,906,Eastern Asia,0,0,437971,2030,495390,57419,13.1102,0
20,Breast,906,Eastern Asia,0,0,437971,2035,515105,77134,17.6117,0
20,Breast,906,Eastern Asia,0,0,437971,2040,517175,79204,18.0843,0
20,Breast,906,Eastern Asia,0,0,437971,2045,511037,73066,16.6828,0
20,Breast,906,Eastern Asia,0,0,437971,2050,503591,65620,14.9827,0
20,Breast,910,Eastern Africa,0,0,35553,2022,35553,0,0,0
20,Breast,910,Eastern Africa,0,0,35553,2025,39625,4072,11.4533,0
20,Breast,910,Eastern Africa,0,0,35553,2030,48018,12465,35.0603,0
20,Breast,910,Eastern Africa,0,0,35553,2035,57886,22333,62.8161,0
20,Breast,910,Eastern Africa,0,0,35553,2040,69539,33986,95.5925,0
20,Breast,910,Eastern Africa,0,0,35553,2045,83276,47723,134.2306,0
20,Breast,910,Eastern Africa,0,0,35553,2050,99052,63499,178.6038,0
20,Breast,911,Middle Africa,0,0,12400,2022,12400,0,0,0
20,Breast,911,Middle Africa,0,0,12400,2025,14127,1727,13.9274,0
20,Breast,911,Middle Africa,0,0,12400,2030,16845,4445,35.8468,0
20,Breast,911,Middle Africa,0,0,12400,2035,20061,7661,61.7823,0
20,Breast,911,Middle Africa,0,0,12400,2040,23830,11430,92.1774,0
20,Breast,911,Middle Africa,0,0,12400,2045,28279,15879,128.0565,0
20,Breast,911,Middle Africa,0,0,12400,2050,33685,21285,171.6532,0
20,Breast,912,Northern Africa,0,0,51274,2022,51274,0,0,0
20,Breast,912,Northern Africa,0,0,51274,2025,56305,5031,9.812,0
20,Breast,912,Northern Africa,0,0,51274,2030,65373,14099,27.4974,0
20,Breast,912,Northern Africa,0,0,51274,2035,74122,22848,44.5606,0
20,Breast,912,Northern Africa,0,0,51274,2040,82146,30872,60.2099,0
20,Breast,912,Northern Africa,0,0,51274,2045,89822,38548,75.1804,0
20,Breast,912,Northern Africa,0,0,51274,2050,98050,46776,91.2275,0
20,Breast,913,Southern Africa,0,0,13903,2022,13903,0,0,0
20,Breast,913,Southern Africa,0,0,13903,2025,15529,1626,11.6953,0
20,Breast,913,Southern Africa,0,0,13903,2030,17875,3972,28.5694,0
20,Breast,913,Southern Africa,0,0,13903,2035,20265,6362,45.7599,0
20,Breast,913,Southern Africa,0,0,13903,2040,22376,8473,60.9437,0
20,Breast,913,Southern Africa,0,0,13903,2045,24282,10379,74.653,0
20,Breast,913,Southern Africa,0,0,13903,2050,26334,12431,89.4124,0
20,Breast,914,Western Africa,0,0,42255,2022,42255,0,0,0
20,Breast,914,Western Africa,0,0,42255,2025,47219,4964,11.7477,0
20,Breast,914,Western Africa,0,0,42255,2030,55424,13169,31.1655,0
20,Breast,914,Western Africa,0,0,42255,2035,64841,22586,53.4517,0
20,Breast,914,Western Africa,0,0,42255,2040,75752,33497,79.2735,0
20,Breast,914,Western Africa,0,0,42255,2045,88721,46466,109.9657,0
20,Breast,914,Western Africa,0,0,42255,2050,104043,61788,146.2265,0
20,Breast,915,Caribbean,0,0,13094,2022,13094,0,0,0
20,Breast,915,Caribbean,0,0,13094,2025,13766,672,5.1321,0
20,Breast,915,Caribbean,0,0,13094,2030,15147,2053,15.6789,0
20,Breast,915,Caribbean,0,0,13094,2035,16456,3362,25.6759,0
20,Breast,915,Caribbean,0,0,13094,2040,17642,4548,34.7335,0
20,Breast,915,Caribbean,0,0,13094,2045,18654,5560,42.4622,0
20,Breast,915,Caribbean,0,0,13094,2050,19466,6372,48.6635,0
20,Breast,916,Central America,0,0,33825,2022,33825,0,0,0
20,Breast,916,Central America,0,0,33825,2025,35950,2125,6.2823,0
20,Breast,916,Central America,0,0,33825,2030,41194,7369,21.7857,0
20,Breast,916,Central America,0,0,33825,2035,46646,12821,37.9039,0
20,Breast,916,Central America,0,0,33825,2040,52055,18230,53.895,0
20,Breast,916,Central America,0,0,33825,2045,57190,23365,69.0761,0
20,Breast,916,Central America,0,0,33825,2050,61860,28035,82.8825,0
20,Breast,920,South-Eastern Asia,0,0,145427,2022,145427,0,0,0
20,Breast,920,South-Eastern Asia,0,0,145427,2025,156704,11277,7.7544,0
20,Breast,920,South-Eastern Asia,0,0,145427,2030,174077,28650,19.7006,0
20,Breast,920,South-Eastern Asia,0,0,145427,2035,190497,45070,30.9915,0
20,Breast,920,South-Eastern Asia,0,0,145427,2040,205010,59583,40.9711,0
20,Breast,920,South-Eastern Asia,0,0,145427,2045,217310,71883,49.4289,0
20,Breast,920,South-Eastern Asia,0,0,145427,2050,227961,82534,56.7529,0
20,Breast,921,South Central Asia,0,0,229636,2022,229636,0,0,0
20,Breast,921,South Central Asia,0,0,229636,2025,253291,23655,10.3011,0
20,Breast,921,South Central Asia,0,0,229636,2030,291452,61816,26.9191,0
20,Breast,921,South Central Asia,0,0,229636,2035,331243,101607,44.247,0
20,Breast,921,South Central Asia,0,0,229636,2040,371351,141715,61.7129,0
20,Breast,921,South Central Asia,0,0,229636,2045,411187,181551,79.0603,0
20,Breast,921,South Central Asia,0,0,229636,2050,448754,219118,95.4197,0
20,Breast,922,Western Asia,0,0,52402,2022,52402,0,0,0
20,Breast,922,Western Asia,0,0,52402,2025,57387,4985,9.513,0
20,Breast,922,Western Asia,0,0,52402,2030,66980,14578,27.8195,0
20,Breast,922,Western Asia,0,0,52402,2035,76918,24516,46.7845,0
20,Breast,922,Western Asia,0,0,52402,2040,86705,34303,65.4612,0
20,Breast,922,Western Asia,0,0,52402,2045,96301,43899,83.7735,0
20,Breast,922,Western Asia,0,0,52402,2050,106014,53612,102.3091,0
20,Breast,923,Eastern Europe,0,0,151563,2022,151563,0,0,0
20,Breast,923,Eastern Europe,0,0,151563,2025,152464,901,0.5945,0
20,Breast,923,Eastern Europe,0,0,151563,2030,157968,6405,4.226,0
20,Breast,923,Eastern Europe,0,0,151563,2035,159647,8084,5.3338,0
20,Breast,923,Eastern Europe,0,0,151563,2040,158287,6724,4.4364,0
20,Breast,923,Eastern Europe,0,0,151563,2045,155584,4021,2.653,0
20,Breast,923,Eastern Europe,0,0,151563,2050,152689,1126,0.7429,0
20,Breast,924,Northern Europe,0,0,84649,2022,84649,0,0,0
20,Breast,924,Northern Europe,0,0,84649,2025,87035,2386,2.8187,0
20,Breast,924,Northern Europe,0,0,84649,2030,91137,6488,7.6646,0
20,Breast,924,Northern Europe,0,0,84649,2035,94838,10189,12.0368,0
20,Breast,924,Northern Europe,0,0,84649,2040,97780,13131,15.5123,0
20,Breast,924,Northern Europe,0,0,84649,2045,100060,15411,18.2058,0
20,Breast,924,Northern Europe,0,0,84649,2050,102199,17550,20.7327,0
20,Breast,925,Southern Europe,0,0,117078,2022,117078,0,0,0
20,Breast,925,Southern Europe,0,0,117078,2025,119076,1998,1.7066,0
20,Breast,925,Southern Europe,0,0,117078,2030,122483,5405,4.6166,0
20,Breast,925,Southern Europe,0,0,117078,2035,124641,7563,6.4598,0
20,Breast,925,Southern Europe,0,0,117078,2040,125610,8532,7.2874,0
20,Breast,925,Southern Europe,0,0,117078,2045,125365,8287,7.0782,0
20,Breast,925,Southern Europe,0,0,117078,2050,123876,6798,5.8064,0
20,Breast,926,Western Europe,0,0,170046,2022,170046,0,0,0
20,Breast,926,Western Europe,0,0,170046,2025,173491,3445,2.0259,0
20,Breast,926,Western Europe,0,0,170046,2030,180504,10458,6.1501,0
20,Breast,926,Western Europe,0,0,170046,2035,186540,16494,9.6997,0
20,Breast,926,Western Europe,0,0,170046,2040,191060,21014,12.3578,0
20,Breast,926,Western Europe,0,0,170046,2045,193588,23542,13.8445,0
