Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2022,Year,Prediction,Risk change,Risk percentage (%)
20,Breast,981,Very HDI country,2,0,1092663,2022,1092663,0,0
20,Breast,981,Very HDI country,2,0,1092663,2025,1129340,36677,3.3567
20,Breast,981,Very HDI country,2,0,1092663,2030,1185642,92979,8.5094
20,Breast,981,Very HDI country,2,0,1092663,2035,1232489,139826,12.7968
20,Breast,981,Very HDI country,2,0,1092663,2040,1268672,176009,16.1083
20,Breast,981,Very HDI country,2,0,1092663,2045,1294157,201494,18.4406
20,Breast,981,Very HDI country,2,0,1092663,2050,1310459,217796,19.9326
20,Breast,982,High HDI country,2,0,737959,2022,737959,0,0
20,Breast,982,High HDI country,2,0,737959,2025,786127,48168,6.5272
20,Breast,982,High HDI country,2,0,737959,2030,844653,106694,14.458
20,Breast,982,High HDI country,2,0,737959,2035,891647,153688,20.8261
20,Breast,982,High HDI country,2,0,737959,2040,922273,184314,24.9762
20,Breast,982,High HDI country,2,0,737959,2045,942241,204282,27.682
20,Breast,982,High HDI country,2,0,737959,2050,953467,215508,29.2032
20,Breast,983,Medium HDI country,2,0,331089,2022,331089,0,0
20,Breast,983,Medium HDI country,2,0,331089,2025,361000,29911,9.0341
20,Breast,983,Medium HDI country,2,0,331089,2030,410094,79005,23.8622
20,Breast,983,Medium HDI country,2,0,331089,2035,460897,129808,39.2064
20,Breast,983,Medium HDI country,2,0,331089,2040,512037,180948,54.6524
20,Breast,983,Medium HDI country,2,0,331089,2045,562023,230934,69.7498
20,Breast,983,Medium HDI country,2,0,331089,2050,609558,278469,84.107
20,Breast,984,Low HDI country,2,0,134122,2022,134122,0,0
20,Breast,984,Low HDI country,2,0,134122,2025,148111,13989,10.4301
20,Breast,984,Low HDI country,2,0,134122,2030,174873,40751,30.3835
20,Breast,984,Low HDI country,2,0,134122,2035,206171,72049,53.719
20,Breast,984,Low HDI country,2,0,134122,2040,242267,108145,80.6318
20,Breast,984,Low HDI country,2,0,134122,2045,283279,149157,111.2099
20,Breast,984,Low HDI country,2,0,134122,2050,329165,195043,145.4221
