Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2022,Year,Prediction,Risk change,Risk percentage (%)
20,Breast,981,Very HDI country,2,1,7025,2022,7025,0,0
20,Breast,981,Very HDI country,2,1,7025,2025,7006,-19,-0.2705
20,Breast,981,Very HDI country,2,1,7025,2030,6678,-347,-4.9395
20,Breast,981,Very HDI country,2,1,7025,2035,6402,-623,-8.8683
20,Breast,981,Very HDI country,2,1,7025,2040,6356,-669,-9.5231
20,Breast,981,Very HDI country,2,1,7025,2045,6447,-578,-8.2278
20,Breast,981,Very HDI country,2,1,7025,2050,6348,-677,-9.637
20,Breast,982,High HDI country,2,1,13420,2022,13420,0,0
20,Breast,982,High HDI country,2,1,13420,2025,13640,220,1.6393
20,Breast,982,High HDI country,2,1,13420,2030,12144,-1276,-9.5082
20,Breast,982,High HDI country,2,1,13420,2035,11249,-2171,-16.1773
20,Breast,982,High HDI country,2,1,13420,2040,11287,-2133,-15.8942
20,Breast,982,High HDI country,2,1,13420,2045,11777,-1643,-12.2429
20,Breast,982,High HDI country,2,1,13420,2050,11739,-1681,-12.5261
20,Breast,983,Medium HDI country,2,1,15259,2022,15259,0,0
20,Breast,983,Medium HDI country,2,1,15259,2025,16012,753,4.9348
20,Breast,983,Medium HDI country,2,1,15259,2030,16877,1618,10.6036
20,Breast,983,Medium HDI country,2,1,15259,2035,17562,2303,15.0927
20,Breast,983,Medium HDI country,2,1,15259,2040,17981,2722,17.8387
20,Breast,983,Medium HDI country,2,1,15259,2045,17922,2663,17.452
20,Breast,983,Medium HDI country,2,1,15259,2050,17759,2500,16.3838
20,Breast,984,Low HDI country,2,1,12965,2022,12965,0,0
20,Breast,984,Low HDI country,2,1,12965,2025,14291,1326,10.2275
20,Breast,984,Low HDI country,2,1,12965,2030,16532,3567,27.5125
20,Breast,984,Low HDI country,2,1,12965,2035,19055,6090,46.9726
20,Breast,984,Low HDI country,2,1,12965,2040,21793,8828,68.091
20,Breast,984,Low HDI country,2,1,12965,2045,24506,11541,89.0166
20,Breast,984,Low HDI country,2,1,12965,2050,27079,14114,108.8623
