Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2022,Year,Prediction,Risk change,Risk percentage (%)
20,Breast,903,Africa,2,0,155385,2022,155385,0,0
20,Breast,903,Africa,2,0,155385,2025,172800,17415,11.2076
20,Breast,903,Africa,2,0,155385,2030,204524,49139,31.624
20,Breast,903,Africa,2,0,155385,2035,239912,84527,54.3984
20,Breast,903,Africa,2,0,155385,2040,279130,123745,79.6377
20,Breast,903,Africa,2,0,155385,2045,323514,168129,108.2016
20,Breast,903,Africa,2,0,155385,2050,374469,219084,140.9943
20,Breast,904,Latin America and the Caribbean,2,0,191992,2022,191992,0,0
20,Breast,904,Latin America and the Caribbean,2,0,191992,2025,203562,11570,6.0263
20,Breast,904,Latin America and the Caribbean,2,0,191992,2030,229882,37890,19.7352
20,Breast,904,Latin America and the Caribbean,2,0,191992,2035,256135,64143,33.4092
20,Breast,904,Latin America and the Caribbean,2,0,191992,2040,281250,89258,46.4905
20,Breast,904,Latin America and the Caribbean,2,0,191992,2045,304023,112031,58.3519
20,Breast,904,Latin America and the Caribbean,2,0,191992,2050,323997,132005,68.7555
20,Breast,905,Northern America,2,0,288211,2022,288211,0,0
20,Breast,905,Northern America,2,0,288211,2025,304339,16128,5.5959
20,Breast,905,Northern America,2,0,288211,2030,324082,35871,12.4461
20,Breast,905,Northern America,2,0,288211,2035,340770,52559,18.2363
20,Breast,905,Northern America,2,0,288211,2040,353941,65730,22.8062
20,Breast,905,Northern America,2,0,288211,2045,365141,76930,26.6923
20,Breast,905,Northern America,2,0,288211,2050,375605,87394,30.3229
20,Breast,908,Europe,2,0,523336,2022,523336,0,0
20,Breast,908,Europe,2,0,523336,2025,531169,7833,1.4967
20,Breast,908,Europe,2,0,523336,2030,552074,28738,5.4913
20,Breast,908,Europe,2,0,523336,2035,566002,42666,8.1527
20,Breast,908,Europe,2,0,523336,2040,572278,48942,9.3519
20,Breast,908,Europe,2,0,523336,2045,572393,49057,9.3739
20,Breast,908,Europe,2,0,523336,2050,569359,46023,8.7942
20,Breast,909,Oceania,2,0,26420,2022,26420,0,0
20,Breast,909,Oceania,2,0,26420,2025,28495,2075,7.8539
20,Breast,909,Oceania,2,0,26420,2030,31730,5310,20.0984
20,Breast,909,Oceania,2,0,26420,2035,34987,8567,32.4262
20,Breast,909,Oceania,2,0,26420,2040,38045,11625,44.0008
20,Breast,909,Oceania,2,0,26420,2045,40839,14419,54.5761
20,Breast,909,Oceania,2,0,26420,2050,43537,17117,64.788
20,Breast,935,Asia,2,0,865436,2022,865436,0,0
20,Breast,935,Asia,2,0,865436,2025,933645,68209,7.8815
20,Breast,935,Asia,2,0,865436,2030,1034391,168955,19.5225
20,Breast,935,Asia,2,0,865436,2035,1125564,260128,30.0575
20,Breast,935,Asia,2,0,865436,2040,1200627,335191,38.7309
20,Breast,935,Asia,2,0,865436,2045,1263435,397999,45.9883
20,Breast,935,Asia,2,0,865436,2050,1317428,451992,52.2271
